Author,Twitter Handle,text,createdAt,replyCount,likeCount,retweetCount,url
,sama,"@BLCNYY @OpenAI we are working to make it much more efficient and then will offer much higher usage limits

in the meantime, please send me your email address",Sun Mar 02 16:15:29 +0000 2025,0,0,0,https://x.com/sama/status/1896232905992782272
,sama,"GPT-4.5 is the first time people have been emailing with such passion asking us to promise to never stop offering a specific model or even replace it with an update

great work @kaicathyc @rapha_gl @mia_glaese",Sun Mar 02 16:11:18 +0000 2025,0,0,0,https://x.com/sama/status/1896231850093551878
,ylecun,@kchonyc Congratulations 🎊 👏,Sat Mar 01 21:38:17 +0000 2025,0,0,0,https://x.com/ylecun/status/1895951751733526968
